"name_vi","main_image_url","gallery_images"
"Hang Cả","/uploads/point-images/z7161972951241-bfadf9f60424a1feb60bbec294eb55e6-1761638032713-699340358.jpg","[""/uploads/point-images/images-1761638267243-747582344.jpg"", ""/uploads/point-images/z7161972951241-bfadf9f60424a1feb60bbec294eb55e6-1761638267243-729557240.jpg""]"
"Hang Hai","/uploads/point-images/pano0016-1762274977551-49516616.JPG","[""/uploads/point-images/pano0023-1762274977591-758826418.JPG"", ""/uploads/point-images/pano0017-1762274977659-867245562.JPG"", ""/uploads/point-images/pano0016-1762274977698-75937158.JPG"", ""/uploads/point-images/pano0011-1762274977729-932642714.JPG"", ""/uploads/point-images/pano0004-1762274977761-53899877.JPG"", ""/uploads/point-images/pano0005-1762274977808-398171368.JPG""]"
"Hang Ba","/uploads/point-images/pano0024-1762352476430-665596787.JPG","[""/uploads/point-images/pano0021-1762352476470-846122668.JPG"", ""/uploads/point-images/pano0022-1762352476524-350819607.JPG"", ""/uploads/point-images/pano0023-1762352476557-628764406.JPG"", ""/uploads/point-images/pano0005-1762352476586-521154819.JPG"", ""/uploads/point-images/pano0025-1762352476609-885192725.JPG"", ""/uploads/point-images/pano0024-1762352476651-995280813.JPG""]"
"Hang Bụt",NULL,NULL
"Động Vái Giời",NULL,NULL
"Động Thiên Thanh",NULL,NULL
"Hang Đột",NULL,NULL
"Hang Vân",NULL,NULL
"Hang Đại","/uploads/point-images/pano0009-1762351539807-494805632.JPG","[""/uploads/point-images/pano0023-1762351539832-86031490.JPG"", ""/uploads/point-images/pano0024-1762351539873-7736851.JPG"", ""/uploads/point-images/pano0012-1762351539908-868417952.JPG"", ""/uploads/point-images/pano0009-1762351539944-643977341.JPG""]"
"Hang Địa Linh",NULL,NULL
"Hang Tối","/uploads/point-images/dji-20250730090900-0001-v-1762274792042-954050570.JPG","[""/uploads/point-images/pano0025-1762274813019-737868410.JPG"", ""/uploads/point-images/pano0023-1762274813058-387061258.JPG"", ""/uploads/point-images/pano0024-1762274813099-181995146.JPG"", ""/uploads/point-images/pano0018-1762274813126-892521818.JPG"", ""/uploads/point-images/pano0016-1762274813162-576085132.JPG""]"
